,0
460,"Вроде и хорош, но есть свое но. Тихий динамик, батареи хватает на сутки. Не играю, интернетом мало пользуюсь, все ненужные приложения отключены. ЭКРАН - Пока не зашла на форум и не подозревала что у меня так же. Плохо приклеен или я чего то не понимаю.. При нажиме сверху появляется хруст или ощущение двухстороннего скотча.  У кого-то снизу такое же., у кого-то в середине. В офисе Самсунга сказали что уже есть возвраты и это заводской брак. Такая партия пришла."
461,"Камеры и дисплей - отличные, это я и так знал, когда участвовал в выборе подарка для себя :) Но вот качество 4G связи... Если Айфон моего сына, с тем же Мегафоном, уверенно держит сигнал у меня дома, то мой подарок при загрузке приложений сразу слетает  до Н или Е... Гэлакси Аппс вообще сети не видит, гугль правда качает ... но медленно...У меня 3G модем быстрее работает...  Ну да ладно, съезжу в город, посмотрю как там будет... Пока , за две недели , заметил одну непонятку :), в характеристиках J5(2016) указан компас, ни одно из приложений его не видит, пишут что сенсор отсутствует... Кому верить?"
462,"Купил телефон в Августе, вроде не так много времени прошло, телефон ни разу не падал а сверху дисплея появились засветы между корпусом и дисплеем, вход наушников сделан отвратительно, при случайном резком выдёргивании наушников вход перестаёт хорошо работать, один наушник хрипит а другой нормально, это ещё всё цветочки, сейчас на улице погода - 20 и при этом с дисплее происходит вааканалья, при пролистывании дисплей начинает глючит и идёт очень сильное искожение изображения, напомню что телефон практически новый, отвратительный телефон за такие деньги, не берите"
463,"В целом не плохо,но фронталка подвела,что для меня очень важно.Нет фокуса и качество не очень."
464,Взяла телефон три дня назад. В первый же день было искажение звука в видео просто вместо звука как будто треск что ли.. Думала просто не настроено. Перезагрузила тел. Проверила норм. На следующий день принимая звонки все было хорошо потом перестали слышать меня собеседники. Перезагрузив тел слышат опять. Ну что за фигня постоянно его перезагружать перед тем как позвонить или снять видео. Расстроена дико. Что делать теперь и не знаю. Не ужели только мне такой попался обидно даже как то ((
465,"После хонор 9 решил взять его, по производительности хуже и связь теряет, очень растроен"
466,"В телефоне замечательно абсолютно все, за исключением пары минусов....
Ни чехлов, ни защитной пленки в России нет))) Их нужно заказывать из китая...
А так же из обещанных 8гб внутренней памяти свободно всего около 3...
Будет просто супер если игры и программы можно устанавливать на карту памяти... но я это еще не проверял..."
467,"Купил сей девайс. Повелся на характеристики камеры, так как нужен был смартфон с камерой выше среднего.
В общем камера отстой, фокусировка непонятно по какому принципу работает. На экране изображение нормальное, по факту результат не радует, есть размытость, детализация низкая. В общем уровень телефона за 10 000. При общении в скайпе собеседник слышит посторонний шум. Непонятно как включить GPS. Отсутствует информация по этому вопросу, надо разбираться. Меню настроек слабое, нелогичное.
В общем покупкой недоволен, выброшенные деньги."
468,"Всё было бы прекрасно, если бы не одна проблема: смартфон не видит наушники. Никакие."
469,"Купила себе данный телефон в феврале 2018г. На днях наконец то поменяла  его  на другой. ООООООчень сильно висит, все приложения открывает по 2 мин, оперативки мало для быстродействия.Камера плохая, в темноте не получаются фото вообще, ничего не видно ни при одном из выбранных режимов съемки. Единственный плюс - долго держал заряд батареи. За это +1 балл. В остальном - не советую."
470,"Купила в марте, первое время была очень довольна всем, очень качественные снимки, но емкость батареи не соответствует заявленной. Первую неделю работал 6 часов без подзарядки, потом только 1-2 часа без зарядки. А через 3 месяца вообще перестал заряжаться. Сдала в сервис центр. Ремонт 45 суток. Жду результата."
471,"Редкая дрянь! Дали в качестве подмены, пока мой в ремонте... Пользуюсь две недели... Регулярно виснит, тормозит... Сказал бы ""живёт своей жизнью"", но скорее ""померает своей смертью"". Страшно глючит даже просто при работе (звонки, ЧАТы), а если смотреть видео по сети (например через ВК) то иногда хочется разбить с периодичностью 4-5 раз в минуту. Подобного убожества ещё ни разу в руках не держал."
472,Только интернет и звонки и все
473,"Телефон хороший ,рекомендую."
474,надеялась на лучше но после 2 месяцев пользования разочерована телефоном.
475,Шляпа
476,"Эйфория от покупки прошла в этот же день, когда батареи хватило часов на 5, но я утешала себя, что пока батарея, возможно, не прокачена на 100%. Пользовалась в течение недели, постоянно заряжала и на работе, и дома, уже началось недовольство аппаратом. Затем в один прекрасный день телефон начал перезагружаться сам по себе.  Это вызвало еще больший негатив. Чашу терпения переполнило то, что вдруг ни с того ни с сего стерлись все установленные приложения сами по себе, без моего участия, а также повредилась внешняя карта памяти. Вот такой вот ""отличный телефон"". Заявленная память 4ГБайта, а показывает 2ГБайта, толком ничего не входит, так как большинство приложений устанавливается все же во внутреннюю память телефона. Так что сегодня иду сдавать обратно в магазин, благо 14 дней еще не истекло. Возможно мне такой бракованный попался, но не думаю, что другие лучше. Что-то в нем недоработано, а батарея, так вообще нонсенс при таком размере экрана и функционале."
477,Ни о чём!
478,"Неделю как купила, по прошлому телефону 3403 думала, что будет такой же. Но увы:(("
479,"Мне повезло купить бракованный айфон.
Заблокированный экран светится легким синим цветом, словно это ночник а не телефон. А иногда экран просто не включается, остается черным, звонки при этом и сигналы сообщений могут поступать, но ответить-то не возможно...
Перезагрузка телефону не всегда помогает, он может просто не реагировать на нажатия кнопок (или этого просто не видно), оставаясь черно-розовым кирпичом, и тогда вообще сложно понять, работает он или нет.
Авторизованный сервисный центр и магазин уже больше года в течение гарантийного срока и после него, не могут справиться с этой бедой. Сервисный центр колдует с телефоном три недели, вернет его, а через пару недель снова та же история ((
Очень, очень плохой телефон! Не стоит покупать.
С четверкой и пятеркой таких проблем не знала."
480,"после самсунга идеальный, и цвет такой нежный, не вульгарный розовый как я боялась."
481,"Успела попользоваться всего 3 недели, стал быстро падать заряд батареи. Отдала в сервис. Теперь жду новый... Жаль,что успела порадоваться так недолго..."
482,"Цвета передача ни какая, батарея очень очень слабая. Это  не финская нокиа, и даже не хороший Китай."
483,"Время работы 10 минут. Затем погас,  и больше включаться не захотел. На сервисе оформили возврат..... Печаль."
484,"Ужасно. Поначалу все было нормально. Через месяц пользования проявилась проблема с памятью. Приложения ни то что не установить нельзя, они даже обновиться не могут. Через полгода пользования появилась еще проблема. Сначала вы на экранную клавиатуру нажимаете и только через пару секунд он высвечивает результат. А также начали тормозить приложения жутко. Вплоть до того, что Twitter сразу вылетал после включения. Фронтальная камера ничего из себя не представляет. Пользоваться невозможно. Не стоит  брать."
485,"вот все вроде бы нормально с телефоном, летает, не тупит, но есть одно но, ПРОБЛЕМА С ПАМЯТЬЮ!!! приходится ограничеваться 2-мя 3-мя приложениями, потом пишет недостаточно памяти. обидно!"
486,купил дочери на днюху.хватило на день.потом отказал экран.короче брак.забрал деньги.
487,"Купила такой телефон. В инете смотрю видео всё зелеными квадратами покрывается,а ему 5 дней. Повезу обратно"
488,"Телефон сам по себе не плохой, но очень мало памяти 8 гб и они все заняты системными приложениями . Ничего нельзя скачать , кроме ватсапа на телефоне ничего нет и тот скоро придется удалить."
489,Ужасный телефон.Маленькая память.Скачали три приложения и память закончилась.Не советую.
490,"Как телефон работает нормально. Но как смартфон использавать невозможно!!!! 4 приложения и память кончилась. На карту памяти приложения не устанавливаются. Самсунг разочаровал. Раньше только этот бренд рассматривала. Теперь буду искать другие варианты. До этого у меня был гранд прайм. С таким же объемом памяти. Но его хваьала на самые необходимые приложения. А в этот напихали столько не нужного, что приходится выбирать или навигатор установить или сбер ((("
491,"Батарейку держит полдня. Сыну на ДР подарили в июле, к октябрю уже выдохся. Не играет, просто лежит на полке и все-равно быстро садится - проверяли несколько раз, приложения никакие не грузит (думали, что из-за них садится), все очистили, интернет отключили. Считаю, что просто не повезло с аккумулятором. В остальном хороший телефон"
492,"Прочитала характеристику телефона, отзывы. Впечатление создалось что неплохой телефон, а на деле оказалось что это не так.... хотелось бы его вернуть, избавиться бы поскорее"
493,"Телефон отличный по цене/качеству,игры тянет.Минусов почти нет.Для подростка самое то. Всем удачи!"
494,"Долго выбирал, хотел самсунг взять, не слишком дорогой, рабочий. Но разочаровался. Батарея совсем слабая, к вечеру уже телефон выключается. Не рекомендую"
495,"использую телефоны (2шт) 2 года. время от времени телефоны удаляют все файлы из памяти (фото, видео, музыку, тексты,вложения)- началось после окончания гарантии через 2 дня. греются при работе в интернете до 50 градусов (держать в руках невозможно), сдавал в ремонт по гарантии в м-видео - ничего страшного, не взорвался еще. несколько раз зависали- не включается, не выключается (несколько дней пока полностью не разрядился). достоинства- крепкий (падал много раз), шустрый (в интернете думает быстро), камера быстрая и качественная, стоит своих денег"
496,"Телефон очень хороший. Прикольный дезаин, камера. Но есть один минус после 6 месецов он перестал находить сим карту. Менял симку всё равно также"
497,"В общем все устраивает, большой плюс батарея, но я покупал с учетом того, что буду использовать еще как навигатор, вот здесь все плохо, gps все время теряется и все время перестраивается маршрут, уже нервирует. Ты едешь прямо и никуда не поворачиваешь, а навигатор куда-то налево или направо сворачивает и ""маршрут перестроен, маршрут перестроен"""
498,"В первую очередь отрываются заглушки.Греется очень и из-за этого отклеились передняя,и задняя панели.Наушник стал плохо воспроизводить звуки.Начались эти неполадки ровно после окончания срока гарантии.Сдали в ремонт по доп.гарантии магазина-продлили, заменили наушник.Но во время зарядки нагрелся и все панели отклеились вновь.Пришлось сдать опять в ремонт.Через месяц ожиданий разрешили обмен."
499,"Телефоном недоволен,батарея не соответствует заявленной мощности,выход на наушники очень тихий,в интернете самопроизвольно выскакивают непонятные страницы,камера нормальная ,стекло тоже не соответствует параметрам защиты,поцарапалась ключами в кармане,на водонепроницаемость не проверял."
500,"Телефон куплен меньше 2х недель назад.Всё хорошо,но по несколько раз в день необходимо его перезагружать,чтобы заработал динамик.Не слышу звонки,смс и гудки при дозвоне"
501,"У смартфона потенциал есть, но производитель урезал производительность процессора. Прималейшем нагреве начинает в играх жутко лагать. Если вы не играете в игры то смартфон отличный, но как игровой его использовать не получится, даже если вы знаете как прошить и думаете что всё нормально будет, сразу говорюТАКОГО НЕ БУДЕТ! Всё 4pda изучил, сам пытался настроить работу процессора всё в пустую.  Сам купил этот смартфон и теперь продаю, так как хотелось бы в игры играть без проблем, на нём без вариантов. Лучше если найдёте купите Xiaomi Redmi Note 3 Pro, модель старенькая, ну там всё настроенно так как надо."
502,камера для селфи снимает зеркально. т.е. где левая сторона - будет правой и наоборот
503,Телефон у меня уже около 6месЦев начал жёстко лагать тормозить не советую лучше хиоми  редми 3 или 4
504,"Телефон так себе , пользовался всего 2 месяца словалсся провод для наушников . Телефон тоже стал плохо работать ."
505,Телефон сыроват.
506,"Купила 2 недели назад, хочу вернуть."
507,"вообще в корне не согласна с предыдущим комментом! обожаю телефоны sony,мой м2 отслужил мне верой и правдой 2 года,потом я его уронила и он начал жить своей жизнью(отключался периодически)и тут я увидела рекламу Е5!!!КОРОЧЕ,купила я его в ноябре,а в мае он уже не заряжался вовсе!!!заряд не держит,камера убогая,тусклые цвета,такое впечатление,что это внебрачный сын Sony!а моим М2 сейчас пользуется дочь и если его не стукать и ронять он работает бесперебойно-уже 4года!!!!!"
508,"Ужасный телефон! Нормально не работает, мне кажется, ни одна функция.
Зарядку держит при активном разговоре пол дня. Клавиши не срабатываю.
Зависает даже при попытках позвонить. При входящем звонке периодически не
загорается экран, ответить на звонок нельзя. Зато при разговоре, даже при гаснущем экране нажимаются кнопки, отключается звук.
Камера просто нет слов все размытое.
В руках держишь как детскую игрушку.
До этого был Флай, на бетон раз пять падал и работает даже при расколотом экране.
Не советую!"
509,"В общем покупкой не доволен .цена хорошая но нервов потратите не мало .подвисает постоянно,в инете медленно все открывает. то контакты невидет перезагружаю,то связь не ловит перезагружаю.динамик ужасный собеседника плохо слышно на что в сервисном центре сказали все нормально.экран в жолтых пятнах выгорает.больше не буду покупать телефоны не давних брендов. Лучше переплатить взять самсунга и не тратить нервы либо другом известный бренд.так что не ведитесь на новинки китайские"
510,Спустя месяц во время разговора стал пропадать звук с динамика. Приходится на него надавить чтобы слышать собеседника.
511,"У меня телефон не проработав две недели пришел в негодность, перестал работать сенсор вообще."
512,"Телефон сразу был не лучшего качества,  плохое звучание, динамик сел через 4 месяца использования. Отдала по гарантийке на ремонт. На вид интересный презентабельный, камера хорошего качества,  очень плохо держит зарядку, при максимальной яркости в работе хватает на 2 часа."
513,"К сожалению, телефон не лучшего качества, сломался через 2 месяца! Если сравнивать по работоспособности, то он отстает в разы от SAMSUNG Galaxy A3 2015, в том числе и качеством камеры!Прекрасный дисплей, но если сделать яркость хотя бы на 50%, телефон разряжается за 3 часа."
514,"Да,может он и очень красивый, очень быстрый, просто не телефон, а мечта, отличная камера, удобен в использовании, но про батарею вы наверное пошутили? Её хватает ровно на полдня при не слишком активном использовании, за такую цену это очень существенный недостаток. Не рекомендую"
515,Как можно купить современный телефон с такими огромными рамками...
516,"стоит огого ,а толку ?есть модели других фирм производителей по параметрам даже лучше,а этот очередная сборная солянка со всего мира."
517,"Золотой айфон 7! Все, как с ума посходили с этими яблоками. Теперь еще и 256 Гб - стоить, наверное, будет, как кусок золота. По мне - так ничего особенного"
518,"Пользуюсь 3 месяца, за это время упал один раз и то на мягкий ковёр,"
519,Испытал на себе. Брать не стоит хоть и выглядит не плохо. Стекло разбил через неделю. Глючит не по детским на вид что это операционная или начинка.
520,"+ Смартфон действительно на 2011-2012 год самый оптимал. Игры-фильмы-камера, всё на высоте, даже дисплей хоть и не супер АМОЛЕД но ООчень достойный."
521,Вот грамотеи - КНР это Китайская Народная Республика http://ru.wikipedia.org/wiki/Китайска...Республика
522,Товарищи
523,"Телефон прослужил верой и правдой 2 года. Ни разу не подводил. Спустя 2 года отключился и больше не включился. В ремонте сказали, что дешевле купить новый телефон, чем этот отремонтировать."
524,не кому не советую брать этот телефон. ломался 2 раза первый раз сделали проработал меньше месяца и опять тоже самое всё таже причина  .И характеристика не устроила камера плохая короче не советую
525,"Телефон вроде и не плохой, все нравится, правда скользкий."
526,Этот телефон меня научил не делать покупку поспешно.
527,"Динамик слабый, при разговоре очень плохо слышно и тебя и тебе. Батареи хватает примерно на 18-20 часов работы т.е. меньше суток. Телефон проработал без сбоев ровно год, после чего начал ужасно глючить и выключаться. Не советую данную модель."
528,"Купил данный смартфон в сентябре,теперь лежит в коробке!!! Микрофон слабый и глухой звук,собеседник меня плохо слышит."
529,если бы было ноль звезд то поставил бы.
530,"Телефон приятный, много функциональный, но ложка дёгтя всё-таки есть. Микрофон глухой и собеседник тебя плохо слышит, именно очень плохо, второе камера, а вернее её программное сопровождение, снимки получаются синюшными и очень тормозная ( немного поправляет ситуацию установка съёмка в движении )."
531,"Этот телефон не рекомендую брать. Эсть много аналогов значительно интереснее за эту же цену. Перестал работать инжектор зарядки через 3 месяца. Через 4 поплыл экран из-за перегрева, сперва с лево сверху теперь уже и с права сверху. На корпусе царапины даже от прикосновений пальцами. Не покупайте авно полное."
532,"купила данный аппарат год назад, все было хорошо до тех пор, как перестала заканчиваться гарантия. остался месяц до слета гарантии и перестал работать вообще. горит красный индикатор, как будто села батарея, ставила на зарядку, не реагирует. сдала по гарантии, посмотрим что будет.  ставлю 2 звезды. неожиданно подвел..."
533,Слабенький телефон в линейке Sony
534,"Камера 13 мп только с разрешением сторон 4:3 то есть квадратное фото ну почти
А с разрешением сторон 16:9 на весь экран только 9 мп
А не заявленные 13 мп
Так что знайте"
535,"Фирменный корпус, удобный в использовании, если через сеть 3G - то никаких проблем!"
536,"Пользуюсь 4 месяца, до этого был самсунг s5. Батарея не радует,  звук тише чем у самсунга, разговорный динамик тоже тише, автофокус хромает на основной камере(фото получаются размытые), экран с хорошими углами обзора, но уступает супер амолету(на амолете насыщенный чёрный - здесь серее), особых подвисаний не было замечено, датчик освещения работает хорошо."
537,"Ужасный Sony XPeriaXA. Через месяц после покупки батарея вообще не держит. Отключив все кроме разговора, полностью садится через несколько часов."
538,"Не рекомендую покупать. Выглядит безрамочный корпус красиво, но это место наиболее уязвимо и при падении сразу разбился вдребезги! Замена стекла идет только в сборе с лег экраном и стоит 6 тыс.!"
539,"Хороший телефон, но из-за слабой АКБ он не стоит таких денег."
540,"Телефон купил неделю назад. Из плюсов аппарата могу отметить низкий вес. Минусов гораздо больше. Основной и абсолютно не простительный - при активной эксплуатации необходимо заряжать 2-3 раза в день  - даже Z3 compact выдерживал полный день при абсолютно аналогичном режиме работы. Ходить постоянно с зарядным устройством не всегда получается и просто очень неудобно. При открытых 6-7 приложениях может на 10-15 секунд беспричинно ""зависнуть""."
541,"Производитель с завышеными амбициями, даже свой проц выпустил Kirin который уступает многим моделям тайванской Mediatek"
542,"Пользуюсь год, все устраивало кроме одного косяка, на морозе выключается сразу, пару минут в кармане и снова включен без потери батареи, но на морозе вырубается."
543,"Полностью отключается на морозе, иногда отключаются сим, иногда не видит вай фай, пользовалась полгода"
544,"Просто Китай пока был новый работал прошло 6мес. Не включается вайфай, бютуз, точка доступа, не переворачивается экран, умная кнопка перестала работать через 2мес. А про запчасти я вообще молчу. Разбил стекло захотел сделать пошло к официалам там сказали ждать месяц и 10000 руб. А это пол телефона. Так что Китай есть Китай"
545,нет
546,Через месяц пользования работаєт 5 10  минут и зависает в сервисе говоря что все такия брак
547,"Ужасно медленный телефон( С первого дня покупки работал не очень, но не стала заморачиваться. А зря... со временем стало только хуже((("
548,"Яркий дисплей, на солнце не бликует, краски сочные. Качество приема отличное. Аккумулятор быстро разряжается, даже не помогает режим энергосбережения. Оболчка постоянно виснет. При звонке очень частые сбои, собеседника не слышно, а тебя слышат, помогает перезагрузка. Надо иметь железные нервы чтобы сладить с этим аппаратом."
549,"Аппарат в целом хороший, яркий дисплей IPS все-таки лучше super amoled овского , на солнце действительно видно изображение, процессор хоть о четырех ядерный но слабоват, интерфейс постоянно виснет- приходится перезагружать, при включении беспроводной сети, блутуза и тп из всплывающего меню сверху глючит безбожно и при этом еще сразу скрывается - нельзя сразу включить и то и другое, при повтороной попытке отключить к примеру вай фай менюшка просто пустая -надо выключать и заново включать, батарея слаба - если вы целый день в нете этот аппарат не для вас, по батарее если сравнивать то у меня айфон 5s так же держал. В остальном обычный аппарат, в комплекте предусмотрена защитная пленка но минусы аппарата она не перекрывает."
550,Одно разочарование!!!!!! Глючит тормозит вылетают контакты зарядки на пол дня еле еле хватает!!!!!! Не покупайте!!!!!!!
551,"Нет возможности переносить приложения на sd карту,а это просто необходимо,так как из заявленной внутренней памяти в 8 гб,доступно только 2.5 гб. итог закачал 4 основных приложения и памяти конец. при установки sd карты запрашивает "" как хотите использовать sd , как просто накопитель,или как расширение внутренней памяти,нажал как расширение внутренней памяти,для того чтобы приложений можно было больше закачивать,начинает фарматировать,итог вышли из строя 3 sd карты,причину не знаю"
552,"Пользуюсь несколько недель. В целом доволен, есть ряд замечаний, но понимал что покупаю за такую цену. В качестве телефона для звонков и сёрфинга в интернете прекрасно подходит. По сравнению с другими телефонами схожей конфигурации (1Гб оперативы,проц), не зависает."
553,"Отвратительный телефон! Купила неделю назад, сначала нравился,а потом пошли косяки...От карты памяти толку нет...На неё нельзя устанавливать приложения...мало того вставила карту пропали контакты! И никакая прошла не подходит! Иногда и просто так могут контакты пропасть и это очень бесит особенно когда торопишься...Приходится перезагружать, а иногда и это не помогает...Сидишь тупо ждешь когда он сообразит.... Я понимаю, что это бюджетный вариант, но почему нельзя сделать все по человечески! В следующий раз буду брать тоже бюджет, но с одной симкой...Так как От второй тоже толку нет!!!! Расстроена!"
554,"даже как обычный телефон разочаровал….:((( во время вызова экран постоянно гаснет, звук как из преисподней, сам включаеться выключаеться, никакие обновления не помогают…:((("
555,все в недостатках
556,"Купила смартфон в октябре 2016 года.Зарядка держится довольно долго,но интернетом не пользуюсь,только звонки и смс. При взаимодействий с др.оргтехникой,зависает.Чуть что не так,сразу сбой.Фотки неочень хорошего качества получаются."
557,"все бы ни чего но не работает заявленная функция GPS, на всех А1000 ставят глюченный GPS модуль нормально не работает ни одна навигационная система, gps модуль находит спутники но постоянно обрывает и восстанавливает с ними связь. лечится данный баг только возвратом телефона и обменом на другую модель или другого производителя. был сильно разочарован т.к. хотел использовать смартфон и в качестве авто навигатора(("
558,"Телефоном пользуюсь 3 недели Конечно разочарована немного, в заявленной памятью слабенький, батарею держит плохо и при воспроизведении видео , которое было снято на камеру происходит заикание  По заявленным функциям цена отличная но не выполняет того что указано в характеристиках с соответствующим качеством"
559,"Покупала этот телефон весной этого года, первые три месяца работал идеально(это при том, что по нему только звонили и отправляли фотоотчеты по ватсапу по работе). Но после это было 4 месяца нервов и прочих радостей. Батарея от силы держалась 4 часа, вечно на зарядке. Перепрошивка не как не помогла данной модели заработать нормально, итог-полетел в стену."
560,Друзья ! Брала 2 таких вот устройства! Это треш ! Если хотите постоянных зависаний -глюков-трубку взять порой не удается тк экран временами виснет минут на 5 эдак - иногда и перезагрузка не помогает ... если бы взяла 1 такой аппарат - подумала бы что партия бракованная - но тут сразу оба одинаково ТУПЯТ!!! Если Вам дорога нервная система - брать такое не советую!!!
561,Быстро разряжается. Тупит. Зарядник перестал заряжать через месяц. Не берите.
562,"купила телефон в подарок. дома вставила сим карту для проверки, а он ее не видит. сбросила до заводских настроек, все равно не помогло, придется идти менять"
563,"Быстро сажается в режиме ожидания, глючит, вызов сбрасывается не всегда."
564,"Как телефон вполне не плох.Слышимость отличная.Приложения не зависают,но сенсор-это что-то.Если на экране влага-не реагирует вообще.И виртуальные кнопки для такого экрана маловаты.Ещё столкнулись с проблемой ""зарядок"".В семье три Vertex и у всех в течение месяца перестали работать ""зарядки"".Вскрытие показало-ушли в обрыв жилы у разъёма-система."
